case_id,source_tweet_id,sampling_bucket,customer_message,apple_response,customer_followup,annotator_intent,conversation_state,expected_action,confidence,notes,risk_flags,backup_restore_related,data_loss,secondary_intent,feedback_request,customer_claim,observed_symptom,confirmed_cause,working_hypothesis,annotation_provenance,annotation_reason,taxonomy_gap
APPLE_GOLD_0001,2503735,IOS_UPDATE,"@115858 @118721 I also have other albums/songs that I have bought but not downloaded yet I can play them fine,however,rep isn’t even in my library.I also have an iPad that is synced up to my phone,it is fully updated and rep isn’t on their either, so I don’t think it’s my phone. it’s my account. https://t.co/dyA93NM4n5","@711875 Have you tried this on Wi-Fi to see if this issue persists? If that does not work, send us a DM and we can pick up from there. https://t.co/GDrqU22YpT",,APP_SERVICE,INFORMATION_REQUEST,CLARIFY,0.94,,[],False,False,,False,,,,,SOURCE_REVIEW,"Purchased content is missing from the library across iPhone and iPad; the primary object is Apple content/service behavior, not payment.",
APPLE_GOLD_0002,2273979,IOS_UPDATE,"@AppleSupport To change the profile you have to confirm it pressing ‘Done’ Or ‘Cancel’ to cancel. They lie on the side of the notch scribbled along with time and carrier, wifi and battery indicator. So whenever I touch it it doesn’t respond. I have ios 11.1.1 Please fix it. #iphoneX #instagram https://t.co/rpYv5DIKw9",@661423 Please be sure all updates are applied for the app. You can find those in the App Store under the Updates tab. DM us with the results of that. https://t.co/GDrqU22YpT,,APP_SERVICE,INFORMATION_REQUEST,CLARIFY,0.99,,[],False,False,,False,,,,,REVIEWED_DECISION_RECOVERED,Instagram/app functionality is the affected object; Apple requested the app be updated and asked for results.,
APPLE_GOLD_0003,453946,IOS_UPDATE,"@222729 @115858 @115858 #Apple seriously youve GOT to either fix the #iOS 11 #Chernobyl OR let us revert back 2 functional iOS version. 

IOS11 is reducing my mobile work  efficiency easily 60-70% due to constant freezes crashes blank screens and eons for apps to launch. 

#iPhone Infuriating! https://t.co/u8T70UXNFO",@220981 We're here for you whenever you're ready to work together on the issues you're running into. Sending us a DM is the best way for us to team up and address everything you've described. https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.96,,[],False,False,,False,,,,,SOURCE_REVIEW,"Freezes, crashes, blank screens and severe launch slowness are system-level performance symptoms; update is context.",
APPLE_GOLD_0004,2693967,IOS_UPDATE,"@AppleSupport Currently I’m on 11.1.1 and the update and deleted everything from GarageBand and other Apple apps. And 90% of other non Apple apps are un-responsive. As you can see in the pic, there’s 2.8GB of data on the app still. I’m afraid if I update to 11.1.2 it will delete the 2.8GB https://t.co/NNLrIALp0Z",@757155 Got it! Are all of these apps updated? Let us know more in DM. https://t.co/GDrqU22YpT,,SOFTWARE_UPDATE,INFORMATION_REQUEST,CLARIFY,0.94,,[],False,False,,False,,,,,SOURCE_REVIEW,The customer is specifically concerned about the update causing app deletion/unresponsiveness and whether the next update will worsen it.,
APPLE_GOLD_0005,2815586,IOS_UPDATE,@AppleSupport did update on iPhone on Friday &amp; added new iwatch on Friday. Today I get this. Is it normal to then get this on iPhone? Friends recently sent video virus on messenger I clicked but did not enter passwords or download. Making sure I'm good &amp; not virus before entering https://t.co/OGjLa9GQKn,"@784954 We completely understand wanting to make sure your iPhone and Apple Watch are both working as expected. We're happy to help. To start, please DM us with the country where you're located and the model of iPhone you're using. https://t.co/GDrqU22YpT",,OTHER_UNCLEAR,INFORMATION_REQUEST,CLARIFY,0.99,,[],False,False,,False,,,,,REVIEWED_DECISION_RECOVERED,"The customer asks whether an unexpected message after a Messenger video indicates a virus, but the concrete underlying system issue is not established.",
APPLE_GOLD_0006,1774849,IOS_UPDATE,"When u can’t type I️ &amp; get a push to update u think great, a bug fix! Only to be get this 💩 Power down, notified software updated and voila, request to update again &amp; then this 💩 AGAIN. Did I️ mention my iPad &amp; all other devices are fully functioning?#applesucks @AppleSupport https://t.co/0x2OcVxSJQ",@533375 We'd be happy to look into this please DM us. https://t.co/GDrqU22YpT,,SOFTWARE_UPDATE,FAILED_TROUBLESHOOTING,ESCALATE,0.98,,[],False,False,,False,,,,,SOURCE_REVIEW,The update repeatedly appears to complete and then requests the same update again; this is a repeated update failure.,
APPLE_GOLD_0007,155973,IOS_UPDATE,@AppleSupport is Apple looking at ending the #iOS11 debacle? It does not appear to be an isolated issue. I have updated iOS many times before. Never had such horrendous battery depletion &amp; performance deterioration. Public recognition &amp; status on a true fix would be a good start. https://t.co/QAtZ2jQCyZ,@151807 We can help with battery life. Could you Direct Message us and let us know what device you're using? https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.97,,[],False,False,,False,,,,,SOURCE_REVIEW,Battery depletion and performance deterioration are the primary observed symptoms; iOS 11 is context.,
APPLE_GOLD_0008,123685,IOS_UPDATE,"@AppleSupport I use 2 iphone's 7+ as my phone &amp; a 6+ as backup as a Photographer.As a rule I NEVER update my IOS Never,last night put my 6+ on charge and it updated on its own,now I cant use it anymore as soon as I press the home button it goes to a white screen &amp; back here again https://t.co/CDhXDbCc41",@143653 We understand the importance of having your iPhone 6 Plus as a backup for taking photos. Send us a DM and we'll work together towards a solution! https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.96,,[],False,False,,False,,,,,SOURCE_REVIEW,White-screen/restart behavior makes the device unusable; the automatic update is context rather than the primary current symptom.,
APPLE_GOLD_0009,2631579,IOS_UPDATE,"@743085 I don't use Cloud services to backup my photos to. I prefer local bulk backups, planning on getting a #Synology #NAS soon! I think the #PhotoApp has a bug in it or is it something to do with #HEIC? It's still doing it on #iOS 11.1.1. #BatteryDrain. :( #iOS11 #Apple @AppleSupport https://t.co/IoE1UBAXJE",@667926 Hello. We’d love to assist with your iOS battery. Reach us in DM to get started. https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.94,,[],False,False,,False,,,,,SOURCE_REVIEW,Battery drain is the primary support issue. Backup language is contextual and does not make this BACKUP_RESTORE.,
APPLE_GOLD_0010,2412989,IOS_UPDATE,"Legit never agreed w/ a tweet more. Yo @115858 I’ve been w/ y’all since the 1st iPhone EVER &amp; iOS 11 has KILLED my iPhone 6. 128g &amp; it runs like total crap- crashing, freezing, totally unresponsive. Come on y’all, we can’t all afford a new phone just bc new software comes out. https://t.co/8ssdcarWLz",@693678 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.98,,[],False,False,,False,,,,,SOURCE_REVIEW,"Crashing, freezing and unresponsiveness are system-level performance symptoms; iOS 11 is context.",
