case_id,source_tweet_id,sampling_bucket,customer_message,apple_response,customer_followup,annotator_intent,conversation_state,expected_action,confidence,missing_fields
APPLE_GOLD_0001,2503735,IOS_UPDATE,"@115858 @118721 I also have other albums/songs that I have bought but not downloaded yet I can play them fine,however,rep isn’t even in my library.I also have an iPad that is synced up to my phone,it is fully updated and rep isn’t on their either, so I don’t think it’s my phone. it’s my account. https://t.co/dyA93NM4n5","@711875 Have you tried this on Wi-Fi to see if this issue persists? If that does not work, send us a DM and we can pick up from there. https://t.co/GDrqU22YpT",,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0003,453946,IOS_UPDATE,"@222729 @115858 @115858 #Apple seriously youve GOT to either fix the #iOS 11 #Chernobyl OR let us revert back 2 functional iOS version. 

IOS11 is reducing my mobile work  efficiency easily 60-70% due to constant freezes crashes blank screens and eons for apps to launch. 

#iPhone Infuriating! https://t.co/u8T70UXNFO",@220981 We're here for you whenever you're ready to work together on the issues you're running into. Sending us a DM is the best way for us to team up and address everything you've described. https://t.co/GDrqU22YpT,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0004,2693967,IOS_UPDATE,"@AppleSupport Currently I’m on 11.1.1 and the update and deleted everything from GarageBand and other Apple apps. And 90% of other non Apple apps are un-responsive. As you can see in the pic, there’s 2.8GB of data on the app still. I’m afraid if I update to 11.1.2 it will delete the 2.8GB https://t.co/NNLrIALp0Z",@757155 Got it! Are all of these apps updated? Let us know more in DM. https://t.co/GDrqU22YpT,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0006,1774849,IOS_UPDATE,"When u can’t type I️ &amp; get a push to update u think great, a bug fix! Only to be get this 💩 Power down, notified software updated and voila, request to update again &amp; then this 💩 AGAIN. Did I️ mention my iPad &amp; all other devices are fully functioning?#applesucks @AppleSupport https://t.co/0x2OcVxSJQ",@533375 We'd be happy to look into this please DM us. https://t.co/GDrqU22YpT,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0007,155973,IOS_UPDATE,@AppleSupport is Apple looking at ending the #iOS11 debacle? It does not appear to be an isolated issue. I have updated iOS many times before. Never had such horrendous battery depletion &amp; performance deterioration. Public recognition &amp; status on a true fix would be a good start. https://t.co/QAtZ2jQCyZ,@151807 We can help with battery life. Could you Direct Message us and let us know what device you're using? https://t.co/GDrqU22YpT,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0008,123685,IOS_UPDATE,"@AppleSupport I use 2 iphone's 7+ as my phone &amp; a 6+ as backup as a Photographer.As a rule I NEVER update my IOS Never,last night put my 6+ on charge and it updated on its own,now I cant use it anymore as soon as I press the home button it goes to a white screen &amp; back here again https://t.co/CDhXDbCc41",@143653 We understand the importance of having your iPhone 6 Plus as a backup for taking photos. Send us a DM and we'll work together towards a solution! https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,,,,"conversation_state, expected_action"
APPLE_GOLD_0009,2631579,IOS_UPDATE,"@743085 I don't use Cloud services to backup my photos to. I prefer local bulk backups, planning on getting a #Synology #NAS soon! I think the #PhotoApp has a bug in it or is it something to do with #HEIC? It's still doing it on #iOS 11.1.1. #BatteryDrain. :( #iOS11 #Apple @AppleSupport https://t.co/IoE1UBAXJE",@667926 Hello. We’d love to assist with your iOS battery. Reach us in DM to get started. https://t.co/GDrqU22YpT,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0010,2412989,IOS_UPDATE,"Legit never agreed w/ a tweet more. Yo @115858 I’ve been w/ y’all since the 1st iPhone EVER &amp; iOS 11 has KILLED my iPhone 6. 128g &amp; it runs like total crap- crashing, freezing, totally unresponsive. Come on y’all, we can’t all afford a new phone just bc new software comes out. https://t.co/8ssdcarWLz",@693678 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,,,,"conversation_state, expected_action"
APPLE_GOLD_0011,582792,IOS_UPDATE,"Just updated to iOS 11.2 on 6s but unfortunately I cannot find any set-up for Apply Pay Cash. Followed the instructions (Settings &gt; Wallet &amp; Apple Pay, Tap the Apple Pay Cash card, then follow the onscreen instructions) but still no set-up option. Any help @AppleSupport @115858 https://t.co/d60grvOpvD","@257420 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",,APP_SERVICE,,CLARIFY,,conversation_state
APPLE_GOLD_0012,81789,IOS_UPDATE,"@AppleSupport I am an all out apple user and just got the I phone X (256Gb) which came with a bunch of issues. 
The phone always heats up while making a call or watching Videos. 
The battery drains out and barely lasts me for 3 hours. 
The messenger app is erratic and needs an update. https://t.co/CPTkTz5eSJ",@821957 We're happy to help. We've received your DM and will work with you there.,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0013,493559,IOS_UPDATE,"@115858 I decide to do your #OSHighSierra and this happened! I am also video-recording this upgrade process on my iPad if more problematic situations happen, like with my previous experience upgrading to Sierra.
I am very upset about this &amp; my gut told me this would happen!WHY?!😓 https://t.co/fl8lf1qPZv",@232665 Thanks for reaching out. We can definitely look into this with you. Is your Mac still in the process of updating or has it stopped?,"@AppleSupport It seems to be updating, but the screen is still that same problematic display",SOFTWARE_UPDATE,,,,"conversation_state, expected_action"
APPLE_GOLD_0014,101234,IOS_UPDATE,"@AppleSupport leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail &amp; apple-id https://t.co/5GWgrlFu74",@138153 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,"@AppleSupport Since a recent update i’m constantly getting these notifications about my old apple ID /e-mail adress, wich i’ve lost the pw years ago. I allready got a new account and e-mail, but it doesn’t appear anywhere, alltho i can still acces the app store etc..",,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0015,517201,IOS_UPDATE,"@AppleSupport i have my iphone 6S and ios 11.1.2 this just happened this morning when i woke up. it happens like this:
when charging &amp; not using apps -happens
when charging &amp; using an apps -happens
not charging &amp; using an apps -happens
not charging &amp; not using an apps -so far not happening.",@239246 Which country are you located within? Please let us know in DM here: https://t.co/GDrqU2kzhr,,OTHER_UNCLEAR,,,,"conversation_state, expected_action"
APPLE_GOLD_0016,2286455,IOS_UPDATE,@AppleSupport iOS 11.1.1 I’ve been on and off with your call center for 4 hours they escalated the case not sure if the last guy used the same case Id as the first but it’s 20000002763703 and this is what happened. I can send iMessages from the email but it won’t do my phone number https://t.co/AdR082043V,@595536 Thanks for letting us know. We recommend deleting the Tweet with your personal email information. Send us a DM using the link below and we'll continue to assist. https://t.co/GDrqU22YpT,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0017,2716153,IOS_UPDATE,Downloaded the most up-to-date IOS etc. @115858 Notes are completely ef’d in the eh now. The cursor jumps to wherever it wants and the logic we all use to write has been completely thrown out the window. Please fix this apple. Your (simple) Notes app has historically been BS free. https://t.co/3tvDIIWy9p,"@762435 We want to help find out what is happening with Notes. To start, can you tell us which device you’re using right now?",@AppleSupport 132g Iphone 6S,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0018,2403802,IOS_UPDATE,"@691479 @AppleSupport I face issue with orientation, after playing game like coc and coming back to home screen my notifications and control center are accessible from left and right or other way. And when apps are getting updated my phone heats up a lot. Regret updating to ios11🤐 https://t.co/tgoIkTGBh4",@748070 Thanks for contacting us. We'd like to help out the best we can. Could you please tell us which ios version you're running? This can be found by going to: Settings &gt; General &gt; About.,@AppleSupport iPhone 6s iOS 11.1.1,OTHER_UNCLEAR,,ESCALATE,,conversation_state
APPLE_GOLD_0019,2126068,IOS_UPDATE,"Dude, what the hell? @115858 ... are you punishing those of us who aren't updating? Or are even the updated systems seeing these insane syntax errors? As a writer, it's tough to absorb these packages of communication. Love you guys, just challenging the ruling on the field here... https://t.co/xAwXK4vE81",@626095 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xU1AGHStV6,,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0020,2889514,IOS_UPDATE,@AppleSupport Been facing this weird animation bug on iMessage and mail app ever since I updated to ios 11 on my iPhone 6 which has now carried over to my iPhone X. Only a reboot fixes this! I have tried resetting my settings but to no avail.Been driving me crazy!Any suggestions? https://t.co/QpvFZimUwJ,"@801143 We would be happy to help. Did you notice this happening right after purchasing the iPhone X or after some use? Was the iPhone X restored from your iPhone 6 backup? If so, was it an iTunes or iCloud backup?","@AppleSupport This issue was present even on my iPhone 6 and after updating to ios 11. After purchasing my iPhone X, I set it up from an iCloud backup of my iPhone 6. I still face the issue intermittently and it typically crops up every 2-3 days. It goes away only after rebooting the phone.",,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0021,1702943,BATTERY_PERFORMANCE,@AppleSupport Well I cannot do that. That would be to lose 50 gigs of podcasts. It’s happening again. Why does it show this pluses? Why won’t it let me download anything? Everything still plays okay... why does it happen every morning and then it’s okay for a day? Also keeps crashing As per us https://t.co/cSCBoXIy2L,@516262 Got it. We don't want you to have to redownload that many data. Let's take a look to see what your next step would be in DM. https://t.co/GDrqU22YpT,,APP_SERVICE,,ESCALATE,,conversation_state
APPLE_GOLD_0022,2786452,BATTERY_PERFORMANCE,@AppleSupport Thanks for your respone this is the current version am running. Everytime am on an app ie social media it will freeze and I will b unable to do anything without closing and reopening the app. It isnt an app issue as it is the same for my homescreen too at times! Plz help! 🙏 thxs https://t.co/jS3YZFNg2h,"@777941 Got it. Let's start by closing any apps currently open, then performing a normal restart on the device. This can help with software issues.

How to force an app to close on your iPhone: https://t.co/uyzgez0J6G

Restart your iPhone: https://t.co/d59djUbfjV",@AppleSupport I did a reboot five minutes later am using my phone checking my email and the screen freezes is it because i am running ios11 on my iphone 7 and will there b another new update coming soon to fix these issues?,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0023,2278923,BATTERY_PERFORMANCE,"@AppleSupport Basically “turn it off and on again”? I work in IT, now I know how my users feel.......oh and as it happens it’s just done it as I was typing this, same thing that happens in safari, keyboard gone, doesn’t come back,then after a few seconds of hanging it restarts itself. https://t.co/qZ2x9j3Qdl","@507995 We understand your concern, and we want to do everything we can to help. In DM, please let us know the exact iOS version you're using. https://t.co/GDrqU22YpT",,DEVICE_PERFORMANCE,,ESCALATE,,conversation_state
APPLE_GOLD_0024,2739489,BATTERY_PERFORMANCE,"Dear @115858,
YOU MESSED UP! My phone isnt connecting through wifi. Even if it did, id still like an input in my laptop other than the USB-C (that non of ur products support btw)
Moreover, u have the old headphones jack in the laptop while ur latest headphones dont support it! Ffs https://t.co/GASpZlagrj",@767534 Thank you for reaching out. We understand the concern over not being able to sync your iPhone through Wi-Fi. It looks like you were working with our chat support. Were they able to resolve that issue? Let us know in DM. https://t.co/GDrqU22YpT,@AppleSupport I wont DM you and take the situation in private and not let the ppl know that the issue wasnt actually resolved. The support team asked me to go and buy a USB-C converter/cable and use it to solve the issue. Very practical of you @115858.,,,,,"annotator_intent, conversation_state, expected_action"
APPLE_GOLD_0025,695356,BATTERY_PERFORMANCE,@AppleSupport When trying to open apps such as Whatsapp &amp; Facebook it takes a really long time to open &amp; load information. It also seems that the phone now cannot handle having more than one app open at a time and completely crashes resulting in having to shut all the apps down &amp; start again.,"@285847 That is never what we want to hear. Is Whatsapp and Facebook the only apps that have a delay when opening them? Also, when you have to close all the apps, are Whatsapp and Facebook open at that time as well? https://t.co/GDrqU22YpT",,,,,,"annotator_intent, conversation_state, expected_action"
